#{"t_start": 1723487073.2133708, "env_id": "None"}
r,l,t
-20.225111,200,1.820482
-34.584467,200,2.378043
-0.177382,200,2.854736
-34.867041,200,3.235227
-26.8331,200,3.640769
-26.836735,200,4.161049
-10.867096,200,4.674904
-27.041652,200,5.079477
-20.441657,200,5.437342
-25.927207,200,5.842018
-34.797555,200,8.558747
-15.438782,200,8.922871
-8.039759,200,9.499296
-31.43606,200,9.847645
-28.100199,200,10.153972
-15.676787,200,10.489071
-37.214821,200,10.844009
-22.312431,200,11.187321
-37.450832,200,11.551127
-17.789548,200,11.961707
-36.023235,200,13.979113
-34.50309,200,14.308749
-14.398939,200,14.65763
-24.797206,200,15.020596
-17.918651,200,15.338988
-22.167695,200,15.725532
-37.162438,200,16.086741
-24.420161,200,16.454451
-29.479174,200,16.816178
-18.051028,200,17.161562
-12.850295,200,19.054693
-1.654652,200,19.347753
-24.600547,200,19.658322
-19.015345,200,19.954383
-23.456755,200,20.23938
-20.493891,200,20.541437
-39.089664,200,20.867835
-23.921192,200,21.167181
-32.28823,200,21.483659
-37.845611,200,21.775142
-31.756727,200,23.526437
-27.944039,200,23.81408
-32.359808,200,24.110963
-16.395824,200,24.403548
-14.696848,200,24.690764
-37.660079,200,25.02101
-26.772045,200,25.363763
-33.420737,200,25.693422
-27.269034,200,26.026149
-2.37599,200,26.411547
-27.018259,200,26.726515
-28.639072,200,28.954527
-23.081215,200,29.267847
-20.358846,200,29.607792
-30.133712,200,30.010197
-21.978334,200,30.375132
-11.265637,200,30.69333
-36.988149,200,31.017916
-11.640878,200,31.340278
-17.071303,200,31.79847
-25.093862,200,32.205085
-2.838536,200,34.089112
-30.49318,200,34.489856
8.21887,200,34.786486
-33.740199,200,35.112852
-15.357032,200,35.421807
-19.06736,200,35.722107
-1.44697,200,36.069961
-16.265888,200,36.357817
-21.187337,200,36.655911
-21.761229,200,36.977754
-12.089731,200,39.163842
11.928548,200,39.453937
-31.516511,200,39.750023
-28.001716,200,40.051432
-4.009061,200,40.424247
-31.079225,200,40.740002
-17.178732,200,41.054648
-6.73097,200,41.358549
-33.89414,200,41.668123
-33.339704,200,42.031193
-30.043702,200,43.95407
-20.82119,200,44.252707
-26.159877,200,44.544657
-24.674429,200,44.827318
-27.340356,200,45.158042
-32.075605,200,45.445676
-30.532038,200,45.821298
-31.714608,200,46.196028
-23.635907,200,46.70675
-36.719199,200,47.27108
-1.45009,200,47.827771
-21.975598,200,50.269031
-14.484673,200,50.580505
-25.206118,200,50.899757
-26.356443,200,51.227948
-34.322054,200,51.567992
-11.994592,200,51.882732
-18.293362,200,52.172152
-36.475009,200,52.47854
-12.544064,200,52.789799
-28.531189,200,53.098212
